 title, type, socket, performance, cores, year, price, power
Xeon Platinum 8352M,серверный,Intel Socket 4189,28.71,32 / 64,2021,9928 USD,185 W
Core i9-13950HX,для ноутбуков,Intel BGA 1964,28.68,24 / 328 x 5.5 GHz Intel Raptor Cove P-Core16 x 4.0 GHz Intel Gracemont E-Core,2023,−,55 W
Core i9-14900T,десктопный,Intel Socket 1700,28.61,24 / 32,−,−,35 W
EPYC 7343,серверный,AMD Socket SP3,28.57,16 / 32,2021,2790 USD,190 W
Core i9-13900T,десктопный,Intel Socket 1700,28.51,24 / 32,2023,−,35 W
Core i9-12900KS,десктопный,Intel Socket 1700,28.47,16 / 24,2022,399 USD,150 W
EPYC 7402P,серверный,AMD Socket TR4,28.42,24 / 48,2019,4315 USD,180 W
EPYC 9124,серверный,AMD Socket SP5,28.28,16 / 32,2022,1452 USD,200 W
Xeon Gold 6330,серверный,Intel Socket 4189,27.84,28 / 56,2021,2251 USD,205 W
Xeon Gold 6312U,серверный,Intel Socket 4189,27.23,24 / 48,2021,−,185 W
Xeon Gold 6338N,серверный,Intel Socket 4189,27.21,32 / 64,2021,6143 USD,185 W
EPYC 7313P,серверный,AMD Socket SP3,27.17,16 / 32,2021,1591 USD,155 W
Xeon Gold 6426Y,серверный,Intel Socket 4677,26.91,16 / 32,2023,−,185 W
Xeon W-3275,серверный,Socket P,26.86,28 / 56,2019,5391 USD,205 W
Xeon Gold 6354,серверный,Intel Socket 4189,26.79,18 / 36,2021,2099 USD,205 W
Core i9-12900K,десктопный,Intel Socket 1700,26.76,16 / 24,2021,432 USD,125 W
Core i9-12900KF,десктопный,Intel Socket 1700,26.59,16 / 24,2021,475 USD,125 W
Xeon Gold 6416H,серверный,Intel Socket 4677,26.25,18 / 36,2023,−,165 W
Ryzen Threadripper PRO 5945WX,серверный,AMD Socket WRX8,26.21,12 / 24,2022,−,280 W
Ryzen Threadripper PRO 3955WX,серверный,AMD Socket TR4,26.09,16 / 32,2020,1347 USD,280 W
EPYC 7352,серверный,AMD Socket TR4,25.92,24 / 48,2019,819 USD,155 W
EPYC 7F52,серверный,AMD Socket SP3,25.81,16 / 32,2020,4006 USD,155 W
